filename;lb;ub;time
20-10-10000-1-0.csp;7819;7819;15.02
20-10-10000-1-1.csp;7831;7831;13
20-10-10000-1-2.csp;7819;7819;14.92
20-10-10000-1-3.csp;7812;7812;15.64
20-10-10000-1-4.csp;7821;7821;12.76
20-10-10000-1-5.csp;7840;7840;14.3
20-10-10000-1-6.csp;7824;7824;14.1
20-10-10000-1-7.csp;7819;7819;14.32
20-10-10000-1-8.csp;7816;7816;12.36
20-10-10000-1-9.csp;7825;7825;18.06
20-10-10000-2-0.csp;4983;4983;2.98
20-10-10000-2-1.csp;4978;4978;3.02
20-10-10000-2-2.csp;4980;4980;3.14
20-10-10000-2-3.csp;4983;4983;3.86
20-10-10000-2-4.csp;4983;4983;3.26
20-10-10000-2-5.csp;4982;4982;3.96
20-10-10000-2-6.csp;4981;4981;3.20
20-10-10000-2-7.csp;4981;4981;3.22
20-10-10000-2-8.csp;4981;4981;3.16
20-10-10000-2-9.csp;4981;4981;3.22
20-10-10000-3-0.csp;3333;3333;3.58
20-10-10000-3-1.csp;3333;3333;3.06
20-10-10000-3-2.csp;3333;3333;2.98
20-10-10000-3-3.csp;3332;3332;2.88
20-10-10000-3-4.csp;3333;3333;5.04
20-10-10000-3-5.csp;3333;3333;3.54
20-10-10000-3-6.csp;3333;3333;2.72
20-10-10000-3-7.csp;3333;3333;3.72
20-10-10000-3-8.csp;3333;3333;2.88
20-10-10000-3-9.csp;3333;3333;3.52
20-10-10000-4-0.csp;2500;2500;2.54
20-10-10000-4-1.csp;2500;2500;3.4
20-10-10000-4-2.csp;2500;2500;3.18
20-10-10000-4-3.csp;2500;2500;2.28
20-10-10000-4-4.csp;2500;2500;2.44
20-10-10000-4-5.csp;2500;2500;2.48
20-10-10000-4-6.csp;2500;2500;2.72
20-10-10000-4-7.csp;2500;2500;2.58
20-10-10000-4-8.csp;2500;2500;3.82
20-10-10000-4-9.csp;2500;2500;2.52
20-10-10000-5-0.csp;2000;2000;2.34
20-10-10000-5-1.csp;2000;2000;2.12
20-10-10000-5-2.csp;2000;2000;1.9
20-10-10000-5-3.csp;2000;2000;2.22
20-10-10000-5-4.csp;2000;2000;1.82
20-10-10000-5-5.csp;2000;2000;2.06
20-10-10000-5-6.csp;2000;2000;1.96
20-10-10000-5-7.csp;2000;2000;2.2
20-10-10000-5-8.csp;2000;2000;1.98
20-10-10000-5-9.csp;2000;2000;2.12
20-10-1000-1-0.csp;787;787;0.3
20-10-1000-1-1.csp;781;781;0.28
20-10-1000-1-2.csp;784;784;0.3
20-10-1000-1-3.csp;783;783;0.88
20-10-1000-1-4.csp;782;782;0.36
20-10-1000-1-5.csp;786;786;0.3
20-10-1000-1-6.csp;781;781;0.3
20-10-1000-1-7.csp;784;784;0.34
20-10-1000-1-8.csp;783;783;0.3
20-10-1000-1-9.csp;781;781;0.32
20-10-1000-2-0.csp;499;499;0.24
20-10-1000-2-1.csp;499;499;0.26
20-10-1000-2-2.csp;499;499;0.26
20-10-1000-2-3.csp;499;499;0.24
20-10-1000-2-4.csp;499;499;0.24
20-10-1000-2-5.csp;499;499;0.22
20-10-1000-2-6.csp;499;499;0.36
20-10-1000-2-7.csp;499;499;0.26
20-10-1000-2-8.csp;499;499;0.48
20-10-1000-2-9.csp;499;499;0.22
20-10-1000-3-0.csp;333;333;0.18
20-10-1000-3-1.csp;333;333;0.2
20-10-1000-3-2.csp;333;333;0.26
20-10-1000-3-3.csp;333;333;0.22
20-10-1000-3-4.csp;333;333;0.2
20-10-1000-3-5.csp;333;333;0.2
20-10-1000-3-6.csp;333;333;0.2
20-10-1000-3-7.csp;333;333;0.2
20-10-1000-3-8.csp;333;333;0.2
20-10-1000-3-9.csp;333;333;0.2
20-10-1000-4-0.csp;250;250;0.2
20-10-1000-4-1.csp;250;250;0.18
20-10-1000-4-2.csp;250;250;0.18
20-10-1000-4-3.csp;250;250;0.18
20-10-1000-4-4.csp;250;250;0.16
20-10-1000-4-5.csp;250;250;0.18
20-10-1000-4-6.csp;250;250;0.18
20-10-1000-4-7.csp;250;250;0.18
20-10-1000-4-8.csp;250;250;0.18
20-10-1000-4-9.csp;250;250;0.18
20-10-1000-5-0.csp;200;200;0.18
20-10-1000-5-1.csp;200;200;0.18
20-10-1000-5-2.csp;200;200;0.16
20-10-1000-5-3.csp;200;200;0.16
20-10-1000-5-4.csp;200;200;0.16
20-10-1000-5-5.csp;200;200;0.16
20-10-1000-5-6.csp;200;200;0.16
20-10-1000-5-7.csp;200;200;0.16
20-10-1000-5-8.csp;200;200;0.16
20-10-1000-5-9.csp;200;200;0.16
20-10-2000-1-0.csp;1563;1563;0.7
20-10-2000-1-1.csp;1560;1560;0.58
20-10-2000-1-2.csp;1560;1560;0.54
20-10-2000-1-3.csp;1561;1561;0.6
20-10-2000-1-4.csp;1563;1563;0.54
20-10-2000-1-5.csp;1565;1565;0.56
20-10-2000-1-6.csp;1567;1567;0.62
20-10-2000-1-7.csp;1567;1567;0.58
20-10-2000-1-8.csp;1568;1568;0.88
20-10-2000-1-9.csp;1567;1567;0.56
20-10-2000-2-0.csp;996;996;0.44
20-10-2000-2-1.csp;997;997;0.46
20-10-2000-2-2.csp;997;997;0.52
20-10-2000-2-3.csp;995;995;0.70
20-10-2000-2-4.csp;998;998;0.46
20-10-2000-2-5.csp;998;998;0.48
20-10-2000-2-6.csp;997;997;0.44
20-10-2000-2-7.csp;995;995;0.50
20-10-2000-2-8.csp;997;997;0.58
20-10-2000-2-9.csp;997;997;0.50
20-10-2000-3-0.csp;666;666;0.52
20-10-2000-3-1.csp;666;666;0.46
20-10-2000-3-2.csp;666;666;0.42
20-10-2000-3-3.csp;666;666;0.4
20-10-2000-3-4.csp;666;666;0.52
20-10-2000-3-5.csp;666;666;0.38
20-10-2000-3-6.csp;666;666;0.38
20-10-2000-3-7.csp;666;666;0.46
20-10-2000-3-8.csp;666;666;0.4
20-10-2000-3-9.csp;666;666;0.44
20-10-2000-4-0.csp;500;500;0.34
20-10-2000-4-1.csp;500;500;0.36
20-10-2000-4-2.csp;500;500;0.34
20-10-2000-4-3.csp;500;500;0.36
20-10-2000-4-4.csp;500;500;0.34
20-10-2000-4-5.csp;500;500;0.32
20-10-2000-4-6.csp;500;500;0.32
20-10-2000-4-7.csp;500;500;0.32
20-10-2000-4-8.csp;500;500;0.32
20-10-2000-4-9.csp;500;500;0.32
20-10-2000-5-0.csp;400;400;0.28
20-10-2000-5-1.csp;400;400;0.32
20-10-2000-5-2.csp;400;400;0.28
20-10-2000-5-3.csp;400;400;0.3
20-10-2000-5-4.csp;400;400;0.28
20-10-2000-5-5.csp;400;400;0.3
20-10-2000-5-6.csp;400;400;0.32
20-10-2000-5-7.csp;400;400;0.28
20-10-2000-5-8.csp;400;400;0.28
20-10-2000-5-9.csp;400;400;0.3
20-10-250-1-0.csp;195;195;0.08
20-10-250-1-1.csp;194;194;0.06
20-10-250-1-2.csp;196;196;0.06
20-10-250-1-3.csp;195;195;0.06
20-10-250-1-4.csp;195;195;0.12
20-10-250-1-5.csp;197;197;0.06
20-10-250-1-6.csp;196;196;0.06
20-10-250-1-7.csp;195;195;0.08
20-10-250-1-8.csp;197;197;0.08
20-10-250-1-9.csp;196;196;0.08
20-10-250-2-0.csp;125;125;0.06
20-10-250-2-1.csp;125;125;0.06
20-10-250-2-2.csp;125;125;0.08
20-10-250-2-3.csp;125;125;0.06
20-10-250-2-4.csp;125;125;0.06
20-10-250-2-5.csp;125;125;0.06
20-10-250-2-6.csp;125;125;0.06
20-10-250-2-7.csp;125;125;0.08
20-10-250-2-8.csp;125;125;0.06
20-10-250-2-9.csp;125;125;0.06
20-10-250-3-0.csp;83;83;0.04
20-10-250-3-1.csp;83;83;0.04
20-10-250-3-2.csp;83;83;0.04
20-10-250-3-3.csp;83;83;0.02
20-10-250-3-4.csp;83;83;0.04
20-10-250-3-5.csp;83;83;0.04
20-10-250-3-6.csp;83;83;0.04
