filename;formulation;lb;ub;time
i-20-2-100-11-2-l-0.cssp;A;1;2;1800
i-20-2-100-11-2-l-0.cssp;Ad;2;2;3.86
i-20-2-100-11-2-l-0.cssp;P;2;2;66.06
i-20-2-100-11-2-l-0.cssp;Pd;2;2;0
i-20-2-100-11-2-l-1.cssp;A;1;3;1800
i-20-2-100-11-2-l-1.cssp;Ad;2;2;1527.14
i-20-2-100-11-2-l-1.cssp;P;2;2;58.22
i-20-2-100-11-2-l-1.cssp;Pd;2;2;0.02
i-20-2-100-11-2-l-2.cssp;A;1;2;1800
i-20-2-100-11-2-l-2.cssp;Ad;2;2;8.46
i-20-2-100-11-2-l-2.cssp;P;2;2;110.04
i-20-2-100-11-2-l-2.cssp;Pd;2;2;0
i-20-2-100-11-2-l-3.cssp;A;1;2;1800
i-20-2-100-11-2-l-3.cssp;Ad;2;2;65.92
i-20-2-100-11-2-l-3.cssp;P;2;2;45.16
i-20-2-100-11-2-l-3.cssp;Pd;2;2;0.02
i-20-2-100-11-2-l-4.cssp;A;1;2;1800
i-20-2-100-11-2-l-4.cssp;Ad;2;2;18.26
i-20-2-100-11-2-l-4.cssp;P;2;2;47.4
i-20-2-100-11-2-l-4.cssp;Pd;2;2;0.06
i-20-2-100-9-2-e-0.cssp;A;1;2;1800
i-20-2-100-9-2-e-0.cssp;Ad;2;2;20.22
i-20-2-100-9-2-e-0.cssp;P;2;2;61.6
i-20-2-100-9-2-e-0.cssp;Pd;2;2;0.02
i-20-2-100-9-2-e-1.cssp;A;1;2;1800
i-20-2-100-9-2-e-1.cssp;Ad;2;2;372.76
i-20-2-100-9-2-e-1.cssp;P;2;2;58.54
i-20-2-100-9-2-e-1.cssp;Pd;2;2;0.02
i-20-2-100-9-2-e-2.cssp;A;1;2;1800
i-20-2-100-9-2-e-2.cssp;Ad;2;3;1800
i-20-2-100-9-2-e-2.cssp;P;2;2;59.5
i-20-2-100-9-2-e-2.cssp;Pd;2;2;0.02
i-20-2-100-9-2-e-3.cssp;A;1;2;1800
i-20-2-100-9-2-e-3.cssp;Ad;2;2;155.72
i-20-2-100-9-2-e-3.cssp;P;2;2;56.72
i-20-2-100-9-2-e-3.cssp;Pd;2;2;0.04
i-20-2-100-9-2-e-4.cssp;A;1;2;1800
i-20-2-100-9-2-e-4.cssp;Ad;2;2;677.52
i-20-2-100-9-2-e-4.cssp;P;2;2;46.98
i-20-2-100-9-2-e-4.cssp;Pd;2;2;0.02
i-20-2-125-13-3-e-0.cssp;A;1;3;1800
i-20-2-125-13-3-e-0.cssp;Ad;3;3;40.18
i-20-2-125-13-3-e-0.cssp;P;3;3;314.44
i-20-2-125-13-3-e-0.cssp;Pd;3;3;0.14
i-20-2-125-13-3-e-1.cssp;A;1;3;1800
i-20-2-125-13-3-e-1.cssp;Ad;3;3;247.08
i-20-2-125-13-3-e-1.cssp;P;3;3;211.28
