filename;lb;ub;time
Hufsky-20-250-0.csp;24;24;0
Hufsky-20-250-1.csp;24;24;0
Hufsky-20-250-10.csp;28;28;0
Hufsky-20-250-11.csp;23;23;0
Hufsky-20-250-12.csp;28;28;0
Hufsky-20-250-13.csp;28;28;0
Hufsky-20-250-14.csp;23;23;0
Hufsky-20-250-15.csp;18;18;0
Hufsky-20-250-16.csp;24;24;0
Hufsky-20-250-17.csp;20;20;0.02
Hufsky-20-250-18.csp;24;24;0
Hufsky-20-250-19.csp;28;28;0
Hufsky-20-250-2.csp;20;20;0
Hufsky-20-250-20.csp;28;28;0
Hufsky-20-250-21.csp;26;26;0
Hufsky-20-250-22.csp;21;21;0
Hufsky-20-250-23.csp;20;20;0
Hufsky-20-250-24.csp;26;26;0
Hufsky-20-250-25.csp;24;24;0
Hufsky-20-250-26.csp;18;18;0
Hufsky-20-250-27.csp;26;26;0
Hufsky-20-250-28.csp;24;24;0
Hufsky-20-250-29.csp;25;25;0
Hufsky-20-250-3.csp;27;27;0
Hufsky-20-250-30.csp;26;26;0
Hufsky-20-250-31.csp;29;29;0
Hufsky-20-250-32.csp;28;28;0
Hufsky-20-250-33.csp;23;23;0
Hufsky-20-250-34.csp;18;18;0
Hufsky-20-250-35.csp;25;25;0
Hufsky-20-250-36.csp;22;22;0
Hufsky-20-250-37.csp;24;24;0
Hufsky-20-250-38.csp;22;22;0
Hufsky-20-250-39.csp;28;28;0
Hufsky-20-250-4.csp;23;23;0
Hufsky-20-250-40.csp;22;22;0
Hufsky-20-250-41.csp;28;28;0
Hufsky-20-250-42.csp;29;29;0
Hufsky-20-250-43.csp;26;26;0
Hufsky-20-250-44.csp;24;24;0
Hufsky-20-250-45.csp;25;25;0
Hufsky-20-250-46.csp;25;25;0
Hufsky-20-250-5.csp;18;18;0
Hufsky-20-250-6.csp;25;25;0
Hufsky-20-250-7.csp;19;19;0
Hufsky-20-250-8.csp;25;25;0
Hufsky-20-250-9.csp;23;23;0
Hufsky-20-300-0.csp;30;30;0.02
Hufsky-20-300-1.csp;26;26;0
Hufsky-20-300-10.csp;33;33;0
Hufsky-20-300-11.csp;30;30;0
Hufsky-20-300-12.csp;34;34;0
Hufsky-20-300-13.csp;34;34;0
Hufsky-20-300-14.csp;28;28;0
Hufsky-20-300-15.csp;25;25;0
Hufsky-20-300-16.csp;29;29;0
Hufsky-20-300-17.csp;28;28;0
Hufsky-20-300-18.csp;29;29;0
Hufsky-20-300-19.csp;33;33;0
Hufsky-20-300-2.csp;25;25;0
Hufsky-20-300-20.csp;35;35;0
Hufsky-20-300-21.csp;30;30;0.02
Hufsky-20-300-22.csp;26;26;0
Hufsky-20-300-23.csp;23;23;0
Hufsky-20-300-24.csp;33;33;0
Hufsky-20-300-25.csp;29;29;0
Hufsky-20-300-26.csp;26;26;0
Hufsky-20-300-27.csp;33;33;0
Hufsky-20-300-28.csp;29;29;0
Hufsky-20-300-29.csp;29;29;0
Hufsky-20-300-3.csp;34;34;0
Hufsky-20-300-30.csp;30;30;0
Hufsky-20-300-31.csp;25;25;0
Hufsky-20-300-32.csp;34;34;0
Hufsky-20-300-33.csp;28;28;0
Hufsky-20-300-34.csp;26;26;0
Hufsky-20-300-35.csp;29;29;0
Hufsky-20-300-36.csp;28;28;0
Hufsky-20-300-37.csp;29;29;0
Hufsky-20-300-38.csp;25;25;0
Hufsky-20-300-39.csp;33;33;0
Hufsky-20-300-4.csp;28;28;0
Hufsky-20-300-40.csp;30;30;0
Hufsky-20-300-41.csp;35;35;0
